Date,Account,Category,Subcategory,Note,MYR,Income/Expense,Description,Amount,Currency,Account2
26/9/2023,Cash,🚖 Transport,Bus,,5,Expense,,5,MYR,5
26/9/2023,Cash,🍜 Food,Lunch,,27,Expense,,27,MYR,27
26/9/2023,Public Bank,🚖 Transport,Grabcar,,7,Expense,,7,MYR,7
26/9/2023,Cash,🧘🏼 Health,Medicine,,11.25,Expense,,11.25,MYR,11.25
28/9/2023,Bank Islam,🤑 Allowance,,,743.94,Income,,743.94,MYR,743.94
28/9/2023,Public Bank,🤑 Allowance,,,433.43,Income,,433.43,MYR,433.43
28/9/2023,Cash,🤑 Allowance,,,252.2,Income,,252.2,MYR,252.2
28/9/2023,Cash,🤑 Allowance,,,50,Income,,50,MYR,50
28/9/2023,Cash,🚖 Transport,Parking Ticket,,3,Expense,,3,MYR,3
28/9/2023,Cash,🍜 Food,Groceries,,10,Expense,,10,MYR,10
30/9/2023,Cash,🍜 Food,Dinner,,10,Expense,,10,MYR,10
30/9/2023,Cash,🍜 Food,Beverages,,5,Expense,,5,MYR,5
30/9/2023,Cash,🍜 Food,Dinner,,5,Expense,,5,MYR,5
30/9/2023,Cash,🍜 Food,Dinner,,11,Expense,,11,MYR,11
1/10/2023,Cash,🚖 Transport,Minyak,,26.85,Expense,,26.85,MYR,26.85
1/10/2023,Cash,🧘🏼 Health,Medicine,,24.9,Expense,,24.9,MYR,24.9
1/10/2023,Public Bank,Cash,,,100,Transfer-Out,,100,MYR,100
1/10/2023,Cash,🍜 Food,Dinner,,34.5,Expense,,34.5,MYR,34.5
2/10/2023,Public Bank,Phone,Yoodo,,32,Expense,,32,MYR,32
3/10/2023,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
3/10/2023,Bank Islam,🤑 Allowance,,,200,Income,,200,MYR,200
4/10/2023,Public Bank,🎮 Game,Azurlane,,93.96,Expense,,93.96,MYR,93.96
4/10/2023,Cash,🤑 Allowance,,,100,Income,,100,MYR,100
5/10/2023,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
5/10/2023,Cash,🍜 Food,Dinner,,11.6,Expense,,11.6,MYR,11.6
7/10/2023,Cash,🚖 Transport,Parking Ticket,,3,Expense,,3,MYR,3
7/10/2023,Cash,🍜 Food,Dinner,,20.05,Expense,,20.05,MYR,20.05
7/10/2023,Cash,🍜 Food,Dinner,,11,Expense,,11,MYR,11
7/10/2023,Cash,🍜 Food,Dinner,,4,Expense,,4,MYR,4
8/10/2023,Public Bank,🚖 Transport,Parking Ticket,,2.4,Expense,,2.4,MYR,2.4
8/10/2023,Cash,🧘🏼 Health,Gym,,5,Expense,,5,MYR,5
9/10/2023,Public Bank,Other,Other,RENEW IC,10,Expense,,10,MYR,10
9/10/2023,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
10/10/2023,Public Bank,Phone,Yoodo,,15,Expense,,15,MYR,15
11/10/2023,Public Bank,🎮 Game,Honkai Star Rail,,19.9,Expense,,19.9,MYR,19.9
11/10/2023,Cash,🍜 Food,Dinner,,3.6,Expense,,3.6,MYR,3.6
11/10/2023,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
11/10/2023,Cash,🍜 Food,Dinner,,9.5,Expense,,9.5,MYR,9.5
14/10/2023,Cash,🍜 Food,Eating out,,3.5,Expense,,3.5,MYR,3.5
16/10/2023,Bank Islam,Public Bank,,,300,Transfer-Out,,300,MYR,300
16/10/2023,Bank Islam,Other,,Fees,0.1,Expense,,0.1,MYR,0.1
16/10/2023,Public Bank,Phone,Maxis,,80.55,Expense,,80.55,MYR,80.55
19/10/2023,Cash,🚖 Transport,Bus,,4,Expense,,4,MYR,4
19/10/2023,Public Bank,🚖 Transport,Grabcar,,9,Expense,,9,MYR,9
20/10/2023,Cash,🍜 Food,Groceries,,1,Expense,,1,MYR,1
21/10/2023,Cash,🍜 Food,Eating out,,12,Expense,,12,MYR,12
21/10/2023,Cash,🍜 Food,Beverages,,5,Expense,,5,MYR,5
21/10/2023,Cash,🍜 Food,Eating out,,10.5,Expense,,10.5,MYR,10.5
22/10/2023,Cash,🧘🏼 Health,Gym,,5,Expense,,5,MYR,5
22/10/2023,Cash,Other,Other,,20,Expense,,20,MYR,20
22/10/2023,Public Bank,Other,Other,,39.55,Expense,,39.55,MYR,39.55
22/10/2023,Public Bank,🍜 Food,Dinner,,23.3,Expense,,23.3,MYR,23.3
24/10/2023,Cash,Other,Other,,3.8,Expense,,3.8,MYR,3.8
24/10/2023,Cash,🍜 Food,Eating out,,5,Expense,,5,MYR,5
24/10/2023,Public Bank,🎮 Game,Honkai Star Rail,,39.9,Expense,,39.9,MYR,39.9
25/10/2023,Public Bank,🤑 Allowance,,,200,Income,,200,MYR,200
25/10/2023,Public Bank,Cash,,,50,Transfer-Out,,50,MYR,50
25/10/2023,Public Bank,Other,,Fees,1,Expense,,1,MYR,1
25/10/2023,Cash,🍜 Food,Dinner,,9.6,Expense,,9.6,MYR,9.6
26/10/2023,Public Bank,Phone,Yoodo,,15,Expense,,15,MYR,15
26/10/2023,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
26/10/2023,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
26/10/2023,Public Bank,🚖 Transport,Grabcar,,13,Expense,,13,MYR,13
27/10/2023,Cash,🧘🏼 Health,Medicine,,1.8,Expense,,1.8,MYR,1.8
27/10/2023,Cash,Other,Other,,15,Expense,,15,MYR,15
28/10/2023,Cash,🍜 Food,Beverages,,2,Expense,,2,MYR,2
1/11/2023,Bank Islam,🤑 Allowance,,,200,Income,,200,MYR,200
3/11/2023,Public Bank,🎮 Game,Nikke,,23.99,Expense,,23.99,MYR,23.99
