Date,Account,Category,Subcategory,Note,MYR,Income/Expense,Description,Amount,Currency,Account2
6/11/2023,Public Bank,Other,Other,Tiket Sabah,15,Expense,,15,MYR,15
7/11/2023,Cash,🤑 Allowance,,,60,Income,,60,MYR,60
7/11/2023,Cash,🍜 Food,Lunch,,21,Expense,,21,MYR,21
7/11/2023,Public Bank,🚖 Transport,Grabcar,,10,Expense,,10,MYR,10
8/11/2023,Public Bank,🎮 Game,Genshin Impact,,19.9,Expense,,19.9,MYR,19.9
9/11/2023,Cash,🤑 Allowance,,,50,Income,,50,MYR,50
9/11/2023,Cash,🍜 Food,Dinner,,6,Expense,,6,MYR,6
10/11/2023,Cash,🍜 Food,Eating out,,6,Expense,,6,MYR,6
11/11/2023,Cash,Other,Other,,6,Expense,,6,MYR,6
11/11/2023,Cash,🧘🏼 Health,Toiletries,,5,Expense,,5,MYR,5
12/11/2023,Cash,🍜 Food,Beverages,,2.25,Expense,,2.25,MYR,2.25
12/11/2023,Cash,🍜 Food,Dinner,,9.6,Expense,,9.6,MYR,9.6
13/11/2023,Public Bank,🎮 Game,Arknight,,21.99,Expense,,21.99,MYR,21.99
16/11/2023,Cash,🍜 Food,Eating out,,3,Expense,,3,MYR,3
16/11/2023,Cash,🤑 Allowance,,,50,Income,,50,MYR,50
16/11/2023,Cash,🍜 Food,Dinner,,45,Expense,,45,MYR,45
18/11/2023,Cash,🍜 Food,Eating out,,5.4,Expense,,5.4,MYR,5.4
18/11/2023,Cash,🍜 Food,Groceries,,15.5,Expense,,15.5,MYR,15.5
18/11/2023,Cash,🍜 Food,Eating out,,2,Expense,,2,MYR,2
18/11/2023,Cash,🍜 Food,Beverages,,4,Expense,,4,MYR,4
18/11/2023,Cash,🍜 Food,Dinner,,11,Expense,,11,MYR,11
19/11/2023,Public Bank,Phone,Maxis,,65.65,Expense,,65.65,MYR,65.65
19/11/2023,Cash,🤑 Allowance,,,50,Income,,50,MYR,50
19/11/2023,Cash,🧘🏼 Health,Toiletries,,30.8,Expense,,30.8,MYR,30.8
19/11/2023,Cash,🧘🏼 Health,Gym,,5,Expense,,5,MYR,5
19/11/2023,Cash,🍜 Food,Dinner,,25.9,Expense,,25.9,MYR,25.9
21/11/2023,Cash,🍜 Food,Lunch,,7.5,Expense,,7.5,MYR,7.5
21/11/2023,Cash,🍜 Food,Lunch,,9.9,Expense,,9.9,MYR,9.9
22/11/2023,Cash,🍜 Food,Dinner,,6.9,Expense,,6.9,MYR,6.9
22/11/2023,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
22/11/2023,Public Bank,Cash,,,50,Transfer-Out,,50,MYR,50
22/11/2023,Public Bank,Other,,Fees,1,Expense,,1,MYR,1
23/11/2023,Bank Islam,Other,Other,Yuran Konvo UMS,185,Expense,,185,MYR,185
24/11/2023,Cash,🚖 Transport,Minyak,,15,Expense,,15,MYR,15
24/11/2023,Public Bank,🤑 Allowance,,,200,Income,,200,MYR,200
25/11/2023,Cash,🧥 Apparel,,,20,Expense,,20,MYR,20
25/11/2023,Public Bank,🚖 Transport,Parking Ticket,,3.2,Expense,,3.2,MYR,3.2
25/11/2023,Cash,🚖 Transport,Parking Ticket,,3,Expense,,3,MYR,3
29/11/2023,Public Bank,Cash,,,100,Transfer-Out,,100,MYR,100
29/11/2023,Public Bank,Other,,Fees,1,Expense,,1,MYR,1
29/11/2023,Public Bank,Phone,Yoodo,,32,Expense,,32,MYR,32
30/11/2023,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
30/11/2023,Cash,🧘🏼 Health,Medicine,,2.4,Expense,,2.4,MYR,2.4
30/11/2023,Cash,🍜 Food,Dinner,,23.3,Expense,,23.3,MYR,23.3
3/12/2023,Cash,🚖 Transport,Parking Ticket,,3,Expense,,3,MYR,3
3/12/2023,Cash,🤑 Allowance,,,180,Income,,180,MYR,180
3/12/2023,Cash,🧥 Apparel,,,40.1,Expense,,40.1,MYR,40.1
3/12/2023,Cash,🧘🏼 Health,Medicine,,8.2,Expense,,8.2,MYR,8.2
3/12/2023,Cash,🍜 Food,Lunch,,40.45,Expense,,40.45,MYR,40.45
3/12/2023,Cash,🚖 Transport,Minyak,,15,Expense,,15,MYR,15
4/12/2023,Bank Islam,🤑 Allowance,,,200,Income,,200,MYR,200
6/12/2023,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
6/12/2023,Public Bank,🚖 Transport,Grabcar,,8,Expense,,8,MYR,8
6/12/2023,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
6/12/2023,Cash,🍜 Food,Lunch,,25.8,Expense,,25.8,MYR,25.8
6/12/2023,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
6/12/2023,Cash,Other,Other,LAMINATE KERTAS KONVO,10,Expense,,10,MYR,10
7/12/2023,Public Bank,🎮 Game,Honkai Star Rail,,19.9,Expense,,19.9,MYR,19.9
8/12/2023,Cash,🍜 Food,Eating out,,2,Expense,,2,MYR,2
8/12/2023,Cash,🍜 Food,Groceries,,5,Expense,,5,MYR,5
8/12/2023,Cash,🤑 Allowance,,,100,Income,,100,MYR,100
8/12/2023,Cash,Other,Other,,15,Expense,,15,MYR,15
8/12/2023,Cash,🧘🏼 Health,Medicine,,40,Expense,,40,MYR,40
9/12/2023,Public Bank,🚖 Transport,Grabcar,,12,Expense,,12,MYR,12
9/12/2023,Cash,🍜 Food,Lunch,,27.8,Expense,,27.8,MYR,27.8
9/12/2023,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
9/12/2023,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
9/12/2023,Cash,🧘🏼 Health,Medicine,,28,Expense,,28,MYR,28
11/12/2023,Cash,🍜 Food,Beverages,,8,Expense,,8,MYR,8
11/12/2023,Cash,🍜 Food,Dinner,,7,Expense,,7,MYR,7
13/12/2023,Cash,Other,Other,Aktif Bank,10,Expense,,10,MYR,10
13/12/2023,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
13/12/2023,Cash,🤑 Allowance,,,100,Income,,100,MYR,100
13/12/2023,Bank Rakyat,Modified Bal.,,Difference,69.12,Income,,69.12,MYR,69.12
13/12/2023,Bank Rakyat,🤑 Allowance,,,137.83,Income,,137.83,MYR,137.83
13/12/2023,Cash,Other,Other,Gambar Konvo,5,Expense,,5,MYR,5
13/12/2023,Cash,🍜 Food,Lunch,,4,Expense,,4,MYR,4
13/12/2023,Cash,🍜 Food,Beverages,,4,Expense,,4,MYR,4
13/12/2023,Cash,🍜 Food,Lunch,,12,Expense,,12,MYR,12
13/12/2023,Cash,🚖 Transport,Grabcar,,5,Expense,,5,MYR,5
13/12/2023,Bank Rakyat,Cash,,,40,Transfer-Out,,40,MYR,40
13/12/2023,Cash,🚖 Transport,Bus,,4,Expense,,4,MYR,4
14/12/2023,Cash,🍜 Food,Beverages,,0.6,Expense,,0.6,MYR,0.6
14/12/2023,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
14/12/2023,Cash,🍜 Food,Dinner,,12.7,Expense,,12.7,MYR,12.7
14/12/2023,Cash,🍜 Food,Groceries,,6.6,Expense,,6.6,MYR,6.6
14/12/2023,Cash,🧘🏼 Health,Toiletries,,32.8,Expense,,32.8,MYR,32.8
17/12/2023,Cash,🍜 Food,Lunch,,5,Expense,,5,MYR,5
17/12/2023,Cash,🍜 Food,Dinner,,14,Expense,,14,MYR,14
17/12/2023,Cash,🍜 Food,Dinner,,13,Expense,,13,MYR,13
17/12/2023,Public Bank,Other,Other,,15,Expense,,15,MYR,15
19/12/2023,Public Bank,Phone,Maxis,,79.84,Expense,,79.84,MYR,79.84
19/12/2023,Public Bank,🤑 Allowance,,,200,Income,,200,MYR,200
19/12/2023,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
19/12/2023,Cash,🍜 Food,Dinner,,20,Expense,,20,MYR,20
19/12/2023,Bank Islam,Cash,,,150,Transfer-Out,,150,MYR,150
19/12/2023,Bank Islam,Other,,Fees,1,Expense,,1,MYR,1
19/12/2023,Cash,🍜 Food,Groceries,,11.2,Expense,,11.2,MYR,11.2
20/12/2023,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
20/12/2023,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
20/12/2023,Public Bank,🚖 Transport,Grabcar,,3,Expense,,3,MYR,3
20/12/2023,Public Bank,🚖 Transport,Grabcar,,14,Expense,,14,MYR,14
20/12/2023,Cash,🍜 Food,Lunch,,13,Expense,,13,MYR,13
20/12/2023,Cash,🍜 Food,Beverages,,16,Expense,,16,MYR,16
20/12/2023,Cash,🍜 Food,Beverages,,5.9,Expense,,5.9,MYR,5.9
22/12/2023,Public Bank,Other,Books,,29.99,Expense,,29.99,MYR,29.99
23/12/2023,Cash,🍜 Food,Breakfast,,11.3,Expense,,11.3,MYR,11.3
24/12/2023,Public Bank,🎮 Game,Honkai Star Rail,,39.9,Expense,,39.9,MYR,39.9
25/12/2023,Public Bank,Phone,Yoodo,,38,Expense,,38,MYR,38
25/12/2023,Public Bank,Cash,,DIGI MAK,10,Transfer-Out,,10,MYR,10
26/12/2023,Cash,🍜 Food,Beverages,,1.9,Expense,,1.9,MYR,1.9
26/12/2023,Cash,🚖 Transport,Minyak,,25,Expense,,25,MYR,25
26/12/2023,Cash,🍜 Food,Lunch,,21,Expense,,21,MYR,21
27/12/2023,Cash,🍜 Food,Dinner,,25.9,Expense,,25.9,MYR,25.9
27/12/2023,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
27/12/2023,Bank Islam,🤑 Allowance,,,200,Income,,200,MYR,200
28/12/2023,Cash,Other,Other,Duit Kawin,10,Expense,,10,MYR,10
29/12/2023,Cash,🍜 Food,Groceries,,7,Expense,,7,MYR,7
31/12/2023,Public Bank,🎮 Game,Honkai Star Rail,,19.9,Expense,,19.9,MYR,19.9
31/12/2023,Bank Islam,Cash,,,100,Transfer-Out,,100,MYR,100
31/12/2023,Bank Islam,Other,,Fees,1,Expense,,1,MYR,1
2/1/2024,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
2/1/2024,Cash,🧘🏼 Health,Medicine,,7,Expense,,7,MYR,7
2/1/2024,Cash,🍜 Food,Dinner,,12.7,Expense,,12.7,MYR,12.7
3/1/2024,Public Bank,🎮 Game,Nikke,,23.99,Expense,,23.99,MYR,23.99
5/1/2024,Bank Islam,Other,Other,Jam Tangan,320.29,Expense,,320.29,MYR,320.29
6/1/2024,Public Bank,🤑 Allowance,,,300,Income,,300,MYR,300
6/1/2024,Cash,🧘🏼 Health,Medicine,,4.5,Expense,,4.5,MYR,4.5
6/1/2024,Cash,🧘🏼 Health,Gym,,5,Expense,,5,MYR,5
6/1/2024,Public Bank,🍜 Food,Dinner,,23.75,Expense,,23.75,MYR,23.75
8/1/2024,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
8/1/2024,Cash,🤑 Allowance,,,50,Income,,50,MYR,50
8/1/2024,Bank Rakyat,🤑 Allowance,,,50,Income,,50,MYR,50
8/1/2024,Cash,🍜 Food,Lunch,,13.45,Expense,,13.45,MYR,13.45
8/1/2024,Cash,🍜 Food,Groceries,,4.6,Expense,,4.6,MYR,4.6
8/1/2024,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
11/1/2024,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
11/1/2024,Cash,🍜 Food,Groceries,,11.2,Expense,,11.2,MYR,11.2
11/1/2024,Cash,🍜 Food,Dinner,,9.6,Expense,,9.6,MYR,9.6
12/1/2024,Cash,Other,Other,Rambut,20,Expense,,20,MYR,20
12/1/2024,Cash,🍜 Food,Eating out,,3,Expense,,3,MYR,3
13/1/2024,Cash,🍜 Food,Dinner,,11,Expense,,11,MYR,11
13/1/2024,Cash,🍜 Food,Beverages,,6,Expense,,6,MYR,6
13/1/2024,Public Bank,Cash,,,150,Transfer-Out,,150,MYR,150
13/1/2024,Public Bank,Other,,Fees,1,Expense,,1,MYR,1
13/1/2024,Cash,🍜 Food,Dinner,,10,Expense,,10,MYR,10
13/1/2024,Cash,🍜 Food,Dinner,,4,Expense,,4,MYR,4
15/1/2024,Cash,🤑 Allowance,,,17,Income,,17,MYR,17
15/1/2024,Cash,🍜 Food,Groceries,,17.25,Expense,,17.25,MYR,17.25
17/1/2024,Cash,Other,Other,Data Engineering Class,31,Expense,,31,MYR,31
17/1/2024,Cash,🍜 Food,Dinner,,20,Expense,,20,MYR,20
17/1/2024,Cash,🧘🏼 Health,Medicine,,4,Expense,,4,MYR,4
17/1/2024,Cash,🍜 Food,Groceries,,2.3,Expense,,2.3,MYR,2.3
20/1/2024,Public Bank,🚖 Transport,Grabcar,,5,Expense,,5,MYR,5
20/1/2024,Cash,🍜 Food,Lunch,,20.5,Expense,,20.5,MYR,20.5
20/1/2024,Cash,🍜 Food,Eating out,,23,Expense,,23,MYR,23
20/1/2024,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
21/1/2024,Cash,🍜 Food,Breakfast,,12.35,Expense,,12.35,MYR,12.35
21/1/2024,Public Bank,Cash,,,10,Transfer-Out,,10,MYR,10
21/1/2024,Cash,🚖 Transport,Parking Ticket,,4,Expense,,4,MYR,4
21/1/2024,Cash,🧘🏼 Health,Gym,,5,Expense,,5,MYR,5
21/1/2024,Cash,🍜 Food,Dinner,,9.6,Expense,,9.6,MYR,9.6
23/1/2024,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
23/1/2024,Bank Islam,Cash,,,100,Transfer-Out,,100,MYR,100
23/1/2024,Bank Islam,Other,,Fees,1,Expense,,1,MYR,1
23/1/2024,Cash,🧘🏼 Health,Toiletries,,18.9,Expense,,18.9,MYR,18.9
23/1/2024,Cash,Other,Other,Print Resume,5,Expense,,5,MYR,5
23/1/2024,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
23/1/2024,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
23/1/2024,Cash,🍜 Food,Lunch,,25.9,Expense,,25.9,MYR,25.9
23/1/2024,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
24/1/2024,Public Bank,🤑 Allowance,,,200,Income,,200,MYR,200
25/1/2024,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
25/1/2024,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
27/1/2024,Cash,🧘🏼 Health,Gym,,5,Expense,,5,MYR,5
27/1/2024,Cash,🍜 Food,Dinner,,9.6,Expense,,9.6,MYR,9.6
29/1/2024,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
29/1/2024,Public Bank,Phone,Yoodo,,38,Expense,,38,MYR,38
29/1/2024,Cash,Other,Other,Print,4,Expense,,4,MYR,4
29/1/2024,Public Bank,Cash,,,50,Transfer-Out,,50,MYR,50
29/1/2024,Cash,🍜 Food,Eating out,,9.1,Expense,,9.1,MYR,9.1
29/1/2024,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
29/1/2024,Public Bank,Phone,Maxis,,63.6,Expense,,63.6,MYR,63.6
30/1/2024,Public Bank,Other,Other,,10,Expense,,10,MYR,10
31/1/2024,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
31/1/2024,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
31/1/2024,Cash,🍜 Food,Lunch,,11,Expense,,11,MYR,11
31/1/2024,Cash,Other,Other,Pen,1.6,Expense,,1.6,MYR,1.6
31/1/2024,Cash,🧘🏼 Health,Toiletries,,23.05,Expense,,23.05,MYR,23.05
31/1/2024,Public Bank,Other,Books,,89,Expense,,89,MYR,89
31/1/2024,Public Bank,🤑 Allowance,,,100,Income,,100,MYR,100
2/2/2024,Cash,Other,Other,,2,Expense,,2,MYR,2
4/2/2024,Cash,🍜 Food,Eating out,,3.3,Expense,,3.3,MYR,3.3
4/2/2024,Public Bank,🎮 Game,Honkai Star Rail,,39.9,Expense,,39.9,MYR,39.9
4/2/2024,Public Bank,Phone,Yoodo,,15,Expense,,15,MYR,15
5/2/2024,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
5/2/2024,Cash,Other,Other,Print Resume,2,Expense,,2,MYR,2
5/2/2024,Cash,🧘🏼 Health,Medicine,,4.5,Expense,,4.5,MYR,4.5
5/2/2024,Cash,🍜 Food,Lunch,,38.5,Expense,,38.5,MYR,38.5
5/2/2024,Bank Islam,Cash,,,50,Transfer-Out,,50,MYR,50
5/2/2024,Bank Islam,Other,,Fees,1,Expense,,1,MYR,1
6/2/2024,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
6/2/2024,Bank Islam,🤑 Allowance,,,200,Income,,200,MYR,200
9/2/2024,Public Bank,🍜 Food,Dinner,,23.3,Expense,,23.3,MYR,23.3
9/2/2024,Cash,🧘🏼 Health,Gym,,10,Expense,,10,MYR,10
11/2/2024,Cash,🍜 Food,Breakfast,,14.15,Expense,,14.15,MYR,14.15
11/2/2024,Cash,🤑 Allowance,,,28,Income,,28,MYR,28
11/2/2024,Cash,Other,Other,,4.45,Expense,,4.45,MYR,4.45
11/2/2024,Cash,🍜 Food,Dinner,,38.5,Expense,,38.5,MYR,38.5
11/2/2024,Bank Islam,Cash,,,100,Transfer-Out,,100,MYR,100
11/2/2024,Bank Islam,Other,,Fees,1,Expense,,1,MYR,1
11/2/2024,Cash,🍜 Food,Dinner,,24.5,Expense,,24.5,MYR,24.5
14/2/2024,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
14/2/2024,Cash,🤑 Allowance,,,10,Income,,10,MYR,10
14/2/2024,Cash,🍜 Food,Beverages,,1.2,Expense,,1.2,MYR,1.2
14/2/2024,Cash,🍜 Food,Lunch,,11,Expense,,11,MYR,11
14/2/2024,Cash,Phone,Maxis,,10,Expense,,10,MYR,10
14/2/2024,Public Bank,🚖 Transport,Grabcar,,5,Expense,,5,MYR,5
14/2/2024,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
14/2/2024,Public Bank,Phone,Yoodo,,15,Expense,,15,MYR,15
15/2/2024,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
15/2/2024,Cash,🍜 Food,Dinner,,7.6,Expense,,7.6,MYR,7.6
15/2/2024,Cash,🍜 Food,Groceries,,4.6,Expense,,4.6,MYR,4.6
15/2/2024,Cash,Other,Other,Tisu,9.3,Expense,,9.3,MYR,9.3
16/2/2024,Cash,🧘🏼 Health,Medicine,,2,Expense,,2,MYR,2
19/2/2024,Cash,🤑 Allowance,,,100,Income,,100,MYR,100
19/2/2024,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
19/2/2024,Cash,Other,Other,Print/Fotostat,6.4,Expense,,6.4,MYR,6.4
19/2/2024,Cash,Other,Other,Gambar,15,Expense,,15,MYR,15
19/2/2024,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
19/2/2024,Public Bank,🚖 Transport,Grabcar,,5,Expense,,5,MYR,5
19/2/2024,Cash,Other,Other,Box Cutter,15.5,Expense,,15.5,MYR,15.5
19/2/2024,Bank Islam,Cash,,,100,Transfer-Out,,100,MYR,100
19/2/2024,Bank Islam,Other,,Fees,1,Expense,,1,MYR,1
19/2/2024,Cash,🍜 Food,Lunch,,29.5,Expense,,29.5,MYR,29.5
19/2/2024,Cash,🧥 Apparel,,,70,Expense,,70,MYR,70
19/2/2024,Public Bank,🚖 Transport,Grabcar,,9,Expense,,9,MYR,9
19/2/2024,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
19/2/2024,Public Bank,🚖 Transport,Grabcar,,10,Expense,,10,MYR,10
19/2/2024,Cash,🧘🏼 Health,Gunting Rambut,,18,Expense,,18,MYR,18
21/2/2024,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
21/2/2024,Cash,🍜 Food,Dinner,,3.6,Expense,,3.6,MYR,3.6
21/2/2024,Cash,🍜 Food,Dinner,,9.5,Expense,,9.5,MYR,9.5
23/2/2024,Public Bank,🤑 Allowance,,,200,Income,,200,MYR,200
25/2/2024,Public Bank,Phone,Yoodo,,31,Expense,,31,MYR,31
26/2/2024,Cash,🍜 Food,Lunch,,12,Expense,,12,MYR,12
27/2/2024,Cash,🍜 Food,Lunch,,11.9,Expense,,11.9,MYR,11.9
28/2/2024,Cash,🍜 Food,Lunch,,8,Expense,,8,MYR,8
29/2/2024,Cash,🤑 Allowance,,,10,Income,,10,MYR,10
1/3/2024,Cash,🍜 Food,Eating out,,2,Expense,,2,MYR,2
1/3/2024,Cash,🍜 Food,Lunch,,9.4,Expense,,9.4,MYR,9.4
2/3/2024,Cash,🍜 Food,Lunch,,25.9,Expense,,25.9,MYR,25.9
2/3/2024,Public Bank,🧘🏼 Health,Toiletries,,21.45,Expense,,21.45,MYR,21.45
4/3/2024,Cash,🤑 Allowance,,,10,Income,,10,MYR,10
4/3/2024,Public Bank,Cash,,,50,Transfer-Out,,50,MYR,50
4/3/2024,Public Bank,Other,,Fees,1,Expense,,1,MYR,1
4/3/2024,Bank Islam,Cash,,,50,Transfer-Out,,50,MYR,50
4/3/2024,Bank Islam,Other,,Fees,1,Expense,,1,MYR,1
4/3/2024,Cash,🍜 Food,Lunch,,3.9,Expense,,3.9,MYR,3.9
4/3/2024,Cash,🍜 Food,Eating out,,4.6,Expense,,4.6,MYR,4.6
4/3/2024,Cash,🍜 Food,Dinner,,9,Expense,,9,MYR,9
4/3/2024,Cash,🍜 Food,Beverages,,5,Expense,,5,MYR,5
5/3/2024,Cash,🍜 Food,Lunch,,10.5,Expense,,10.5,MYR,10.5
5/3/2024,Cash,🍜 Food,Eating out,,9.9,Expense,,9.9,MYR,9.9
6/3/2024,Cash,🍜 Food,Eating out,,3,Expense,,3,MYR,3
6/3/2024,Cash,🍜 Food,Lunch,,4.4,Expense,,4.4,MYR,4.4
7/3/2024,Cash,🍜 Food,Eating out,,4.6,Expense,,4.6,MYR,4.6
7/3/2024,Cash,🧘🏼 Health,Medicine,,10,Expense,,10,MYR,10
