Date,Account,Category,Subcategory,Note,MYR,Income/Expense,Description,Amount,Currency,Account2
26/03/2024 07:36:30,Cash,🤑 Allowance,,,30,Income,,30,MYR,30
26/03/2024 16:52:12,Cash,🍜 Food,Ramadan,,19,Expense,,19,MYR,19
26/03/2024 16:52:18,Cash,🍜 Food,Ramadan,,6,Expense,,6,MYR,6
26/09/2023 11:00:39,Cash,🚖 Transport,Bus,,5,Expense,,5,MYR,5
26/09/2023 12:22:17,Cash,🍜 Food,Lunch,,27,Expense,,27,MYR,27
26/09/2023 13:00:00,Public Bank,🚖 Transport,Grabcar,,7,Expense,,7,MYR,7
26/09/2023 13:00:00,Cash,🧘🏼 Health,Medicine,,11.25,Expense,,11.25,MYR,11.25
26/10/2023 09:05:09,Public Bank,Phone,Yoodo,,15,Expense,,15,MYR,15
26/10/2023 10:30:58,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
26/10/2023 11:18:54,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
26/10/2023 12:28:16,Public Bank,🚖 Transport,Grabcar,,13,Expense,,13,MYR,13
26/12/2023 11:12:15,Cash,🍜 Food,Beverages,,1.9,Expense,,1.9,MYR,1.9
26/12/2023 13:23:07,Cash,🚖 Transport,Minyak,,25,Expense,,25,MYR,25
26/12/2023 13:23:07,Cash,🍜 Food,Lunch,,21,Expense,,21,MYR,21
27/01/2024 16:46:24,Cash,🧘🏼 Health,Gym,,5,Expense,,5,MYR,5
27/01/2024 19:13:55,Cash,🍜 Food,Dinner,,9.6,Expense,,9.6,MYR,9.6
27/02/2024 14:39:29,Cash,🍜 Food,Lunch,,11.9,Expense,,11.9,MYR,11.9
27/10/2023 11:12:43,Cash,🧘🏼 Health,Medicine,,1.8,Expense,,1.8,MYR,1.8
27/10/2023 11:12:49,Cash,Other,Other,,15,Expense,,15,MYR,15
27/12/2023 19:01:45,Cash,🍜 Food,Dinner,,25.9,Expense,,25.9,MYR,25.9
27/12/2023 19:01:50,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
27/12/2023 19:01:55,Bank Islam,🤑 Allowance,,,200,Income,,200,MYR,200
28/02/2024 14:10:13,Cash,🍜 Food,Lunch,,8,Expense,,8,MYR,8
28/09/2023 09:12:43,Bank Islam,🤑 Allowance,,,743.94,Income,,743.94,MYR,743.94
28/09/2023 09:14:13,Public Bank,🤑 Allowance,,,433.43,Income,,433.43,MYR,433.43
28/09/2023 09:56:33,Cash,🤑 Allowance,,,252.2,Income,,252.2,MYR,252.2
28/09/2023 15:01:24,Cash,🤑 Allowance,,,50,Income,,50,MYR,50
28/09/2023 15:49:10,Cash,🚖 Transport,Parking Ticket,,3,Expense,,3,MYR,3
28/09/2023 16:19:19,Cash,🍜 Food,Groceries,,10,Expense,,10,MYR,10
28/10/2023 07:03:50,Cash,🍜 Food,Beverages,,2,Expense,,2,MYR,2
28/12/2023 13:48:24,Cash,Other,Other,Duit Kawin,10,Expense,,10,MYR,10
29/01/2024 09:06:23,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
29/01/2024 09:06:56,Public Bank,Phone,Yoodo,,38,Expense,,38,MYR,38
29/01/2024 09:27:13,Cash,Other,Other,Print,4,Expense,,4,MYR,4
29/01/2024 09:35:02,Public Bank,Cash,,,50,Transfer-Out,,50,MYR,50
29/01/2024 10:29:41,Cash,🍜 Food,Eating out,,9.1,Expense,,9.1,MYR,9.1
29/01/2024 10:47:32,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
29/01/2024 16:22:22,Public Bank,Phone,Maxis,,63.6,Expense,,63.6,MYR,63.6
29/02/2024 08:44:18,Cash,🤑 Allowance,,,10,Income,,10,MYR,10
29/11/2023 10:17:59,Public Bank,Cash,,,100,Transfer-Out,,100,MYR,100
29/11/2023 10:17:59,Public Bank,Other,,Fees,1,Expense,,1,MYR,1
29/11/2023 16:37:42,Public Bank,Phone,Yoodo,,32,Expense,,32,MYR,32
29/12/2023 17:01:45,Cash,🍜 Food,Groceries,,7,Expense,,7,MYR,7
30/01/2024 23:21:59,Public Bank,Other,Other,,10,Expense,,10,MYR,10
30/09/2023 19:51:29,Cash,🍜 Food,Dinner,,10,Expense,,10,MYR,10
30/09/2023 20:16:25,Cash,🍜 Food,Beverages,,5,Expense,,5,MYR,5
30/09/2023 20:16:30,Cash,🍜 Food,Dinner,,5,Expense,,5,MYR,5
30/09/2023 20:26:15,Cash,🍜 Food,Dinner,,11,Expense,,11,MYR,11
30/11/2023 17:50:01,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
30/11/2023 18:27:31,Cash,🧘🏼 Health,Medicine,,2.4,Expense,,2.4,MYR,2.4
30/11/2023 19:04:30,Cash,🍜 Food,Dinner,,23.3,Expense,,23.3,MYR,23.3
31/01/2024 11:13:14,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
31/01/2024 12:16:40,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
31/01/2024 12:53:39,Cash,🍜 Food,Lunch,,11,Expense,,11,MYR,11
31/01/2024 13:00:17,Cash,Other,Other,Pen,1.6,Expense,,1.6,MYR,1.6
31/01/2024 14:57:42,Cash,🧘🏼 Health,Toiletries,,23.05,Expense,,23.05,MYR,23.05
31/01/2024 20:18:40,Public Bank,Other,Books,,89,Expense,,89,MYR,89
31/01/2024 20:18:52,Public Bank,🤑 Allowance,,,100,Income,,100,MYR,100
31/12/2023 16:01:49,Public Bank,🎮 Game,Honkai Star Rail,,19.9,Expense,,19.9,MYR,19.9
31/12/2023 16:51:10,Bank Islam,Cash,,,100,Transfer-Out,,100,MYR,100
31/12/2023 16:51:10,Bank Islam,Other,,Fees,1,Expense,,1,MYR,1
