Date,Account,Category,Subcategory,Note,MYR,Income/Expense,Note2,Amount,Currency,Account3
04/01/2023 17:38:57,Dompet,Food & Drink,Lunch,,6,Expense,,6,MYR,6
04/01/2023 18:07:06,Dompet,Food & Drink,Dinner,,9.5,Expense,,9.5,MYR,9.5
04/02/2023 17:57:51,Dompet,Food & Drink,Dinner,,4,Expense,,4,MYR,4
04/02/2023 17:57:57,Dompet,Food & Drink,Drink,,3,Expense,,3,MYR,3
04/03/2023 21:15:50,Dompet,Food & Drink,Dinner,,11,Expense,,11,MYR,11
04/03/2023 21:15:50,Dompet,Health,Gym,,10,Expense,,10,MYR,10
04/04/2023 17:10:04,Dompet,Transportation,Bus,,4,Expense,,4,MYR,4
04/05/2023 07:32:13,Dompet,Food & Drink,Breakfast,,10.3,Expense,,10.3,MYR,10.3
04/05/2023 17:52:48,Dompet,Food & Drink,Barang Dapur,,19.55,Expense,,19.55,MYR,19.55
04/07/2023 09:47:47,Public Bank,Credit Topup,Yoodo,,5,Expense,,5,MYR,5
04/07/2023 13:18:06,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
04/07/2023 13:18:06,Dompet,Food & Drink,Lunch,,4,Expense,,4,MYR,4
04/08/2022 22:28:49,Public Bank,Game,Honkai,Monthly Pass,19.9,Expense,,19.9,MYR,19.9
04/08/2023 12:09:59,Public Bank,Transportation,GrabCar,,13,Expense,,13,MYR,13
04/11/2022 11:20:43,Dompet,Food & Drink,Lunch,,8.25,Expense,,8.25,MYR,8.25
04/11/2022 13:19:04,Dompet,Food & Drink,Lunch,,11,Expense,,11,MYR,11
05/01/2023 17:35:52,Dompet,Food & Drink,Dinner,,13,Expense,,13,MYR,13
05/01/2023 18:03:21,Dompet,Food & Drink,Dinner,,4,Expense,,4,MYR,4
05/01/2023 23:25:37,Public Bank,Game,Azurlane,,29.9,Expense,,29.9,MYR,29.9
05/03/2023 08:42:32,Dompet,Food & Drink,Breakfast,,16.4,Expense,,16.4,MYR,16.4
05/05/2023 21:59:43,Bank Islam,Public Bank,,,100,Transfer-Out,,100,MYR,100
05/06/2023 11:11:19,Public Bank,Other,,,20.5,Expense,,20.5,MYR,20.5
05/06/2023 11:52:31,Dompet,Food & Drink,Lunch,,15,Expense,,15,MYR,15
